GP_CE_Cl___fastGreedyCluster,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
GP_CE_Cl_3,2.40575396825397,0.000211165849386,0.415670103092783,0,4,4,false,A0A060Q5Z9,757.75,0,4,0,0.998446680698062,false,0,A0A060Q5Z9,1005322,0.477444794952681
GP_CE_Cl_3,2.08482142857143,0.237356718654782,0.4796573875803,0,905,3,false,Gpal_D383_g00989,5.78563535911602,0,905,0,0.998801302288871,false,0,Gpal_D383_g00989,514231488,0.136732438831886
GP_CE_Cl_3,2.16021825396825,0.19303568073108,0.462916188289323,0,829,3,false,Gpal_D383_g06424,6.09167671893848,0,829,0,0.998717990879593,false,0,Gpal_D383_g06424,443086954,0.145476477683957
GP_CE_Cl_3,2.23859126984127,0.159007325773476,0.446709505871926,0,750,3,false,Gpal_D383_g10528,6.21066666666667,0,750,0,0.998631390862054,false,0,Gpal_D383_g10528,379534804,0.148876190476191
GP_CE_Cl_3,2.43998015873016,0.112243021138301,0.409839398251677,0,547,3,false,Gpal_D383_g17246,6.35466179159049,0,547,0,0.99840886170306,false,0,Gpal_D383_g17246,272920524,0.152990336902586
GP_CE_Cl_3,2.46626984126984,0.000177775804245,0.405470635559131,0,4,4,false,A0A060Q608,638.5,0,4,0,0.998379812330088,false,0,A0A060Q608,653008,0.418307086614173
GP_CE_Cl_3,2.12847222222222,0.224172006175772,0.469820554649266,0,861,3,false,Gpal_D383_g02913,5.15795586527294,0,861,0,0.99875306936771,false,0,Gpal_D383_g02913,483589310,0.118798739007798
GP_CE_Cl_3,2.9469246031746,0.002260947437135,0.339336811984514,0,38,4,false,Gpal_D383_g11988,9.92105263157895,0,38,0,0.99784870209594,false,0,Gpal_D383_g11988,1489006,0.270334928229665
GP_CE_Cl_3,3.0843253968254,0,0.324220006432937,0,1,4,false,A0A061AD30,905,0,1,0,0.997696878014557,false,0,A0A061AD30,0,0
GP_CE_Cl_3,2.82738095238095,4.27288832622706E-05,0.353684210526316,0,2,4,false,A0A067XG43,726,0,2,0,0.997980794527756,false,0,A0A067XG43,179322,0.623924268502582
