g10195.t1	259	PRINTS	PR00837	Allergen V5/Tpx-1 family signature	172	185	4E-09	T	26-06-2023	IPR001283	Cysteine-rich secretory protein-related	-	Reactome: R-BTA-6798695|Reactome: R-CEL-6798695|Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695|Reactome: R-SCE-6798695|Reactome: R-XTR-6798695
g10195.t1	259	PRINTS	PR00837	Allergen V5/Tpx-1 family signature	65	83	4E-09	T	26-06-2023	IPR001283	Cysteine-rich secretory protein-related	-	Reactome: R-BTA-6798695|Reactome: R-CEL-6798695|Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695|Reactome: R-SCE-6798695|Reactome: R-XTR-6798695
g10195.t1	259	PRINTS	PR00837	Allergen V5/Tpx-1 family signature	145	161	4E-09	T	26-06-2023	IPR001283	Cysteine-rich secretory protein-related	-	Reactome: R-BTA-6798695|Reactome: R-CEL-6798695|Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695|Reactome: R-SCE-6798695|Reactome: R-XTR-6798695
g10195.t1	259	SUPERFAMILY	SSF55797	PR-1-like	4	188	2.22E-34	T	26-06-2023	IPR035940	CAP superfamily	-	Reactome: R-BTA-6798695|Reactome: R-CEL-6798695|Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695|Reactome: R-SCE-6798695|Reactome: R-XTR-6798695
g10195.t1	259	CDD	cd05380	CAP_euk	30	178	4.35146E-28	T	26-06-2023	-	-		
g10195.t1	259	Pfam	PF00188	Cysteine-rich secretory protein family	36	177	4.2E-15	T	26-06-2023	IPR014044	CAP domain	-	Reactome: R-BTA-6798695|Reactome: R-CEL-6798695|Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695|Reactome: R-SCE-6798695|Reactome: R-XTR-6798695
g10195.t1	259	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	24	-	T	26-06-2023	-	-		
g10195.t1	259	PRINTS	PR00838	Venom allergen 5 signature	24	40	1.1E-07	T	26-06-2023	IPR002413	Venom allergen 5-like	-	Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695
g10195.t1	259	PRINTS	PR00838	Venom allergen 5 signature	144	163	1.1E-07	T	26-06-2023	IPR002413	Venom allergen 5-like	-	Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695
g10195.t1	259	PRINTS	PR00838	Venom allergen 5 signature	65	83	1.1E-07	T	26-06-2023	IPR002413	Venom allergen 5-like	-	Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695
g10195.t1	259	MobiDBLite	mobidb-lite	consensus disorder prediction	240	259	-	T	26-06-2023	-	-		
g10195.t1	259	ProSitePatterns	PS01009	CRISP family signature 1.	146	156	-	T	26-06-2023	IPR018244	Allergen V5/Tpx-1-related, conserved site	GO:0005576	Reactome: R-BTA-6798695|Reactome: R-CEL-6798695|Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695|Reactome: R-SCE-6798695|Reactome: R-XTR-6798695
g10195.t1	259	Gene3D	G3DSA:3.40.33.10	CAP	18	212	1.5E-43	T	26-06-2023	IPR035940	CAP superfamily	-	Reactome: R-BTA-6798695|Reactome: R-CEL-6798695|Reactome: R-HSA-1989781|Reactome: R-HSA-6798695|Reactome: R-MMU-6798695|Reactome: R-SCE-6798695|Reactome: R-XTR-6798695
